192.168.83.1 - - [13/Dec/2016:00:51:23 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:51:48 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:53:56 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:54:05 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:54:17 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:54:30 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:55:00 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:55:09 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:55:21 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:55:40 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
